instance_name	LB	OPT
class1_20_3_0	10	11
class1_20_3_1	9	9
class1_20_3_2	12	13
class1_20_3_3	9	9
class1_20_3_4	10	10
class1_20_3_5	8	8
class1_20_3_6	8	9
class1_20_3_7	11	11
class1_20_3_8	11	11
class1_20_3_9	11	11
class1_40_3_0	14	15
class1_40_3_1	14	16
class1_40_3_2	18	19
class1_40_3_3	15	17
class1_40_3_4	19	19
class1_40_3_5	15	16
class1_40_3_6	15	16
class1_40_3_7	13	16
class1_40_3_8	15	17
class1_40_3_9	15	17
class1_60_3_0	22	25
class1_60_3_1	23	26
class1_60_3_2	21	23
class1_60_3_3	21	23
class1_60_3_4	21	23
class1_60_3_5	21	23
class1_60_3_6	21	24
class1_60_3_7	20	24
class1_60_3_8	21	24
class1_60_3_9	22	25
class1_120_3_0	40	43
class1_120_3_1	43	48
class1_120_3_2	42	48
class1_120_3_3	42	45
class1_120_3_4	40	44
class1_120_3_5	42	47
class1_120_3_6	45	48
class1_120_3_7	40	46
class1_120_3_8	48	49
class1_120_3_9	41	45
class1_250_3_0	85	90
class1_250_3_1	84	89
class1_250_3_2	84	90
class1_250_3_3	84	91
class1_250_3_4	83	87
class1_250_3_5	85	91
class1_250_3_6	85	92
class1_250_3_7	83	85
class1_250_3_8	85	91
class1_250_3_9	85	91
class1_500_3_0	170	-1
class1_500_3_1	171	-1
class1_500_3_2	171	-1
class1_500_3_3	168	-1
class1_500_3_4	170	-1
class1_500_3_5	170	-1
class1_500_3_6	172	-1
class1_500_3_7	170	-1
class1_500_3_8	164	-1
class1_500_3_9	170	-1
class1_20_5_0	6	8
class1_20_5_1	6	8
class1_20_5_2	7	9
class1_20_5_3	8	9
class1_20_5_4	8	9
class1_20_5_5	10	11
class1_20_5_6	7	9
class1_20_5_7	8	9
class1_20_5_8	9	10
class1_20_5_9	6	7
class1_40_5_0	13	16
class1_40_5_1	12	16
class1_40_5_2	12	15
class1_40_5_3	12	16
class1_40_5_4	15	16
class1_40_5_5	14	17
class1_40_5_6	11	14
class1_40_5_7	15	18
