instance_name	LB	OPT	best_overall	best_IC	best_BC	best_MB-Pairing	best_MB-WFD
class1_20_3_0	10	11	11	11	11	11	11
class1_20_3_1	9	9	9	9	9	10	9
class1_20_3_2	12	13	13	13	13	13	13
class1_20_3_3	9	9	9	10	10	9	10
class1_20_3_4	10	10	10	10	10	10	10
class1_20_3_5	8	8	8	8	8	8	8
class1_20_3_6	8	9	9	9	9	9	10
class1_20_3_7	11	11	11	11	11	11	11
class1_20_3_8	11	11	11	11	11	11	11
class1_20_3_9	11	11	11	11	11	11	11
class1_40_3_0	14	15	16	16	16	16	16
class1_40_3_1	14	16	17	17	17	17	17
class1_40_3_2	18	19	19	19	19	19	19
class1_40_3_3	15	17	18	18	18	18	18
class1_40_3_4	19	19	20	20	20	20	20
class1_40_3_5	15	16	18	18	18	18	18
class1_40_3_6	15	16	17	17	17	17	17
class1_40_3_7	13	16	16	16	16	17	17
class1_40_3_8	15	17	17	17	17	18	18
class1_40_3_9	15	17	18	18	18	18	19
class1_60_3_0	22	25	26	26	26	26	26
class1_60_3_1	23	26	27	27	27	28	27
class1_60_3_2	21	23	25	25	25	25	25
class1_60_3_3	21	23	25	25	25	25	25
class1_60_3_4	21	23	25	25	25	26	26
class1_60_3_5	21	23	25	26	26	25	26
class1_60_3_6	21	24	26	26	26	26	26
class1_60_3_7	20	24	25	25	25	26	26
class1_60_3_8	21	24	25	25	26	27	25
class1_60_3_9	22	25	27	27	27	27	27
class1_120_3_0	40	43	48	48	48	49	51
class1_120_3_1	43	48	52	52	52	52	53
class1_120_3_2	42	48	52	52	52	52	52
class1_120_3_3	42	45	49	49	52	52	49
class1_120_3_4	40	44	48	49	48	48	49
class1_120_3_5	42	47	51	51	52	52	53
class1_120_3_6	45	48	51	51	52	52	53
class1_120_3_7	40	46	48	48	48	49	48
class1_120_3_8	48	49	53	53	53	54	53
class1_120_3_9	41	45	50	50	50	50	50
class1_250_3_0	85	90	99	101	99	102	102
class1_250_3_1	84	89	99	100	99	101	101
class1_250_3_2	84	90	100	100	101	103	101
class1_250_3_3	84	91	98	101	98	102	102
class1_250_3_4	83	87	96	97	96	98	97
class1_250_3_5	85	91	101	102	101	102	102
class1_250_3_6	85	92	102	102	102	103	102
class1_250_3_7	83	85	96	100	96	96	100
class1_250_3_8	85	91	102	102	102	102	102
class1_250_3_9	85	91	102	102	102	102	103
class1_500_3_0	170	-1	197	200	197	202	202
class1_500_3_1	171	-1	195	201	195	200	202
class1_500_3_2	171	-1	197	201	197	198	201
class1_500_3_3	168	-1	198	199	198	199	200
class1_500_3_4	170	-1	200	202	200	202	202
class1_500_3_5	170	-1	197	204	197	202	206
class1_500_3_6	172	-1	202	206	202	206	206
class1_500_3_7	170	-1	198	204	198	205	205
class1_500_3_8	164	-1	188	193	189	188	193
class1_500_3_9	170	-1	198	201	198	202	203
class1_20_5_0	6	8	8	8	8	8	8
class1_20_5_1	6	8	8	8	8	8	8
class1_20_5_2	7	9	9	10	9	10	10
class1_20_5_3	8	9	9	9	9	9	9
class1_20_5_4	8	9	9	9	9	9	9
class1_20_5_5	10	11	11	11	11	11	11
class1_20_5_6	7	9	9	9	9	9	9
class1_20_5_7	8	9	9	9	9	9	9
class1_20_5_8	9	10	10	10	11	11	10
class1_20_5_9	6	7	7	7	7	7	7
class1_40_5_0	13	16	17	17	17	17	17
class1_40_5_1	12	16	17	17	17	17	17
class1_40_5_2	12	15	15	16	15	16	16
class1_40_5_3	12	16	16	16	16	16	16
class1_40_5_4	15	16	16	16	16	17	17
class1_40_5_5	14	17	17	17	18	18	18
class1_40_5_6	11	14	15	16	15	15	16
class1_40_5_7	15	18	18	18	19	19	18
class1_40_5_8	15	16	16	17	16	16	17
class1_40_5_9	13	15	16	16	16	17	17
class1_60_5_0	16	20	22	23	23	22	23
class1_60_5_1	18	21	23	23	23	23	23
class1_60_5_2	17	21	23	23	23	24	24
class1_60_5_3	17	23	25	25	25	25	25
class1_60_5_4	17	23	24	24	25	25	24
class1_60_5_5	19	23	25	25	25	25	25
class1_60_5_6	15	19	20	20	21	21	21
class1_60_5_7	20	23	25	25	25	26	25
class1_60_5_8	16	21	24	24	24	24	25
class1_60_5_9	15	19	21	21	22	23	21
class1_120_5_0	32	40	44	45	44	44	45
class1_120_5_1	32	41	45	46	45	46	47
class1_120_5_2	31	39	43	43	44	45	45
class1_120_5_3	32	38	43	43	43	44	43
class1_120_5_4	33	43	46	46	47	47	47
class1_120_5_5	32	39	43	44	43	44	45
class1_120_5_6	31	37	41	42	41	42	42
class1_120_5_7	32	40	43	44	43	43	44
class1_120_5_8	31	37	41	42	41	42	42
class1_120_5_9	33	40	44	45	44	46	45
class1_250_5_0	65	81	91	93	91	91	93
class1_250_5_1	64	-1	84	87	84	86	88
class1_250_5_2	64	-1	87	87	87	87	88
class1_250_5_3	63	76	88	88	88	89	89
class1_250_5_4	65	-1	90	91	90	91	92
class1_250_5_5	65	80	91	91	91	92	91
class1_250_5_6	64	-1	87	88	87	87	88
class1_250_5_7	65	79	87	88	87	88	90
class1_250_5_8	65	83	93	94	93	94	94
class1_250_5_9	64	81	90	91	90	90	93
