instance_name	LB	OPT
class1_20_3_0	6	6
class1_20_3_1	6	6
class1_20_3_2	6	6
class1_20_3_3	6	6
class1_20_3_4	6	6
class1_20_3_5	6	6
class1_20_3_6	6	6
class1_20_3_7	6	6
class1_20_3_8	6	6
class1_20_3_9	6	6
class1_40_3_0	11	11
class1_40_3_1	11	11
class1_40_3_2	11	11
class1_40_3_3	11	11
class1_40_3_4	11	11
class1_40_3_5	10	10
class1_40_3_6	11	11
class1_40_3_7	12	12
class1_40_3_8	11	11
class1_40_3_9	10	10
class1_60_3_0	17	17
class1_60_3_1	16	16
class1_60_3_2	16	16
class1_60_3_3	15	15
class1_60_3_4	16	16
class1_60_3_5	16	16
class1_60_3_6	16	16
class1_60_3_7	17	17
class1_60_3_8	16	16
class1_60_3_9	16	16
class1_120_3_0	30	30
class1_120_3_1	33	33
class1_120_3_2	30	30
class1_120_3_3	32	32
class1_120_3_4	29	29
class1_120_3_5	31	31
class1_120_3_6	32	32
class1_120_3_7	31	31
class1_120_3_8	31	31
class1_120_3_9	31	31
class1_250_3_0	65	-1
class1_250_3_1	63	-1
class1_250_3_2	64	-1
class1_250_3_3	64	-1
class1_250_3_4	64	-1
class1_250_3_5	63	-1
class1_250_3_6	65	-1
class1_250_3_7	64	-1
class1_250_3_8	62	-1
class1_250_3_9	63	-1
class1_500_3_0	126	-1
class1_500_3_1	127	-1
class1_500_3_2	126	-1
class1_500_3_3	127	-1
class1_500_3_4	130	-1
class1_500_3_5	127	-1
class1_500_3_6	130	-1
class1_500_3_7	130	-1
class1_500_3_8	127	-1
class1_500_3_9	128	-1
class1_20_5_0	6	6
class1_20_5_1	6	6
class1_20_5_2	6	6
class1_20_5_3	6	6
class1_20_5_4	6	6
class1_20_5_5	6	6
class1_20_5_6	6	7
class1_20_5_7	6	6
class1_20_5_8	6	6
class1_20_5_9	6	6
class1_40_5_0	11	11
class1_40_5_1	11	11
class1_40_5_2	11	11
class1_40_5_3	11	12
class1_40_5_4	11	11
class1_40_5_5	12	12
class1_40_5_6	11	11
class1_40_5_7	12	12
class1_40_5_8	11	11
class1_40_5_9	11	11
class1_60_5_0	16	16
class1_60_5_1	17	17
class1_60_5_2	17	17
class1_60_5_3	17	18
class1_60_5_4	17	17
class1_60_5_5	17	17
class1_60_5_6	16	16
class1_60_5_7	16	16
class1_60_5_8	16	16
class1_60_5_9	16	16
class1_120_5_0	32	32
class1_120_5_1	31	32
class1_120_5_2	33	33
class1_120_5_3	31	31
class1_120_5_4	32	32
class1_120_5_5	32	32
class1_120_5_6	32	32
class1_120_5_7	32	33
class1_120_5_8	31	32
class1_120_5_9	31	32
class1_250_5_0	63	-1
class1_250_5_1	63	-1
class1_250_5_2	65	-1
class1_250_5_3	65	-1
class1_250_5_4	64	-1
class1_250_5_5	64	-1
class1_250_5_6	64	-1
class1_250_5_7	64	-1
class1_250_5_8	64	-1
class1_250_5_9	66	-1
class1_500_5_0	128	-1
class1_500_5_1	128	-1
class1_500_5_2	128	-1
class1_500_5_3	128	-1
class1_500_5_4	127	-1
class1_500_5_5	130	-1
class1_500_5_6	130	-1
class1_500_5_7	128	-1
class1_500_5_8	131	-1
class1_500_5_9	129	-1
class1_20_10_0	6	7
class1_20_10_1	6	7
class1_20_10_2	6	7
class1_20_10_3	6	7
class1_20_10_4	6	7
class1_20_10_5	6	7
class1_20_10_6	6	7
class1_20_10_7	6	7
class1_20_10_8	7	7
class1_20_10_9	6	6
class1_40_10_0	11	13
class1_40_10_1	11	13
class1_40_10_2	11	13
