instance_name	LB	OPT	best_overall	best_IC	best_BC	best_MB-Pairing	best_MB-WFD
class1_20_3_0	6	6	6	6	6	6	6
class1_20_3_1	6	6	6	7	6	7	7
class1_20_3_2	6	6	6	6	6	6	6
class1_20_3_3	6	6	6	6	6	6	6
class1_20_3_4	6	6	6	6	6	6	6
class1_20_3_5	6	6	7	7	7	7	7
class1_20_3_6	6	6	7	7	7	7	7
class1_20_3_7	6	6	6	6	6	6	6
class1_20_3_8	6	6	6	6	6	6	6
class1_20_3_9	6	6	6	6	6	6	6
class1_40_3_0	11	11	12	12	12	12	12
class1_40_3_1	11	11	11	12	11	11	12
class1_40_3_2	11	11	12	12	12	12	12
class1_40_3_3	11	11	12	12	12	12	12
class1_40_3_4	11	11	12	12	12	12	12
class1_40_3_5	10	10	11	11	11	11	11
class1_40_3_6	11	11	12	12	12	12	12
class1_40_3_7	12	12	13	13	13	13	13
class1_40_3_8	11	11	11	12	11	11	12
class1_40_3_9	10	10	11	11	11	11	11
class1_60_3_0	17	17	18	18	18	18	18
class1_60_3_1	16	16	17	17	17	17	17
class1_60_3_2	16	16	16	17	16	16	17
class1_60_3_3	15	15	16	17	16	17	17
class1_60_3_4	16	16	17	17	17	17	17
class1_60_3_5	16	16	17	17	17	17	17
class1_60_3_6	16	16	17	17	17	17	17
class1_60_3_7	17	17	18	18	18	18	18
class1_60_3_8	16	16	17	17	17	17	18
class1_60_3_9	16	16	17	17	17	17	17
class1_120_3_0	30	30	32	33	32	32	33
class1_120_3_1	33	33	34	34	34	35	34
class1_120_3_2	30	30	32	33	32	32	33
class1_120_3_3	32	32	34	34	34	34	34
class1_120_3_4	29	29	31	32	31	31	32
class1_120_3_5	31	31	33	34	33	33	34
class1_120_3_6	32	32	33	34	33	33	34
class1_120_3_7	31	31	33	34	34	33	35
class1_120_3_8	31	31	33	34	33	33	34
class1_120_3_9	31	31	33	34	33	33	34
class1_250_3_0	65	-1	69	71	69	69	72
class1_250_3_1	63	-1	67	69	67	67	70
class1_250_3_2	64	-1	68	71	68	68	72
class1_250_3_3	64	-1	67	70	68	67	71
class1_250_3_4	64	-1	67	69	67	67	69
class1_250_3_5	63	-1	67	69	67	67	70
class1_250_3_6	65	-1	67	69	68	67	70
class1_250_3_7	64	-1	67	70	67	67	70
class1_250_3_8	62	-1	66	68	66	66	69
class1_250_3_9	63	-1	66	68	66	66	68
class1_500_3_0	126	-1	133	140	133	134	142
class1_500_3_1	127	-1	133	139	133	134	139
class1_500_3_2	126	-1	133	139	133	134	141
class1_500_3_3	127	-1	135	140	135	135	140
class1_500_3_4	130	-1	136	140	136	136	141
class1_500_3_5	127	-1	135	140	135	135	142
class1_500_3_6	130	-1	135	140	137	135	141
class1_500_3_7	130	-1	136	140	137	136	143
class1_500_3_8	127	-1	135	141	135	135	141
class1_500_3_9	128	-1	134	139	135	134	140
class1_20_5_0	6	6	6	6	6	6	7
class1_20_5_1	6	6	7	7	7	7	7
class1_20_5_2	6	6	7	7	7	7	7
class1_20_5_3	6	6	6	6	6	6	6
class1_20_5_4	6	6	6	6	6	6	6
class1_20_5_5	6	6	6	6	6	6	6
