instance_name	LB	OPT	best_overall	best_IC	best_BC	best_MB-Pairing	best_MB-WFD
classC_60_3_0	20	20	23	23	23	23	23
classC_60_3_1	20	20	22	23	22	23	23
classC_60_3_2	20	20	23	23	23	23	23
classC_60_3_3	20	20	23	23	23	23	23
classC_60_3_4	20	20	23	23	23	24	23
classC_60_3_5	20	20	23	23	23	23	23
classC_60_3_6	20	20	22	23	22	23	23
classC_60_3_7	20	20	23	23	23	23	23
classC_60_3_8	20	20	23	23	23	23	23
classC_60_3_9	20	20	22	22	23	23	23
classC_120_3_0	40	40	44	44	45	45	45
classC_120_3_1	40	40	44	44	44	44	44
classC_120_3_2	40	40	45	45	45	45	45
classC_120_3_3	40	40	43	45	44	43	45
classC_120_3_4	40	40	45	46	45	45	46
classC_120_3_5	40	40	45	46	45	45	46
classC_120_3_6	40	40	44	44	45	44	45
classC_120_3_7	40	40	45	45	45	45	45
classC_120_3_8	40	40	44	45	44	44	45
classC_120_3_9	40	40	45	45	45	45	45
classC_249_3_0	83	83	90	92	90	91	92
classC_249_3_1	83	83	91	92	91	91	92
classC_249_3_2	83	83	92	92	92	92	92
classC_249_3_3	83	83	91	92	91	91	92
classC_249_3_4	83	83	91	92	91	91	93
classC_249_3_5	83	83	90	91	90	90	91
classC_249_3_6	83	83	92	92	92	92	92
classC_249_3_7	83	83	91	91	91	91	91
classC_249_3_8	83	83	89	91	89	90	92
classC_249_3_9	83	83	93	93	93	93	93
classC_501_3_0	167	167	182	182	183	183	182
classC_501_3_1	167	167	181	181	181	181	181
classC_501_3_2	167	167	179	180	179	179	181
classC_501_3_3	167	167	180	181	180	180	182
classC_501_3_4	167	167	181	181	181	181	181
classC_501_3_5	167	167	180	180	181	181	181
classC_501_3_6	167	167	181	182	181	181	182
classC_501_3_7	167	167	181	181	181	181	181
classC_501_3_8	167	167	180	180	181	181	180
classC_501_3_9	167	167	180	180	180	180	182
classC_60_5_0	20	20	25	25	25	25	25
classC_60_5_1	20	20	24	25	24	24	25
classC_60_5_2	20	20	24	24	24	24	24
classC_60_5_3	20	20	24	24	24	24	24
classC_60_5_4	20	20	24	24	24	24	24
classC_60_5_5	20	20	25	25	25	25	25
classC_60_5_6	20	20	24	24	24	24	24
classC_60_5_7	20	20	24	24	24	24	24
classC_60_5_8	20	20	24	24	24	24	24
classC_60_5_9	20	20	25	25	25	25	25
classC_120_5_0	40	40	48	48	48	48	48
classC_120_5_1	40	40	48	48	48	48	49
classC_120_5_2	40	40	48	48	48	48	49
classC_120_5_3	40	40	47	47	47	47	48
classC_120_5_4	40	40	47	48	47	48	48
classC_120_5_5	40	40	47	49	48	47	48
classC_120_5_6	40	40	48	49	48	48	49
classC_120_5_7	40	40	48	48	48	48	48
classC_120_5_8	40	40	47	47	47	47	48
classC_120_5_9	40	40	47	47	47	47	48
classC_249_5_0	83	83	96	97	96	96	98
classC_249_5_1	83	83	97	98	97	97	99
classC_249_5_2	83	83	95	97	95	96	97
classC_249_5_3	83	83	97	99	97	98	99
classC_249_5_4	83	83	96	97	96	97	97
classC_249_5_5	83	83	98	98	99	99	98
classC_249_5_6	83	83	97	97	97	97	99
classC_249_5_7	83	83	96	98	97	96	98
classC_249_5_8	83	83	96	97	96	96	97
classC_249_5_9	83	83	98	99	98	98	99
classC_501_5_0	167	167	193	194	193	193	194
classC_501_5_1	167	167	191	193	192	191	194
classC_501_5_2	167	167	192	193	192	192	193
classC_501_5_3	167	167	193	193	194	193	195
classC_501_5_4	167	167	190	193	192	190	193
classC_501_5_5	167	167	195	195	195	195	197
classC_501_5_6	167	167	192	194	193	192	195
classC_501_5_7	167	167	196	196	197	197	196
classC_501_5_8	167	167	191	193	192	191	193
classC_501_5_9	167	167	192	193	192	192	193
classC_60_10_0	20	20	27	27	27	27	27
classC_60_10_1	20	20	26	26	26	26	26
classC_60_10_2	20	20	26	26	26	26	26
classC_60_10_3	20	20	26	26	26	27	26
classC_60_10_4	20	20	26	26	26	26	26
classC_60_10_5	20	20	26	26	26	26	26
classC_60_10_6	20	20	26	26	26	26	26
classC_60_10_7	20	20	26	26	26	27	27
classC_60_10_8	20	20	26	26	26	26	27
classC_60_10_9	20	20	26	26	26	26	27
classC_120_10_0	40	40	51	51	51	52	51
classC_120_10_1	40	40	52	52	52	52	52
classC_120_10_2	40	40	52	52	52	52	53
classC_120_10_3	40	40	52	52	52	52	53
classC_120_10_4	40	40	51	52	52	51	52
classC_120_10_5	40	40	52	52	52	52	52
classC_120_10_6	40	40	52	52	53	52	52
classC_120_10_7	40	40	52	52	52	52	52
classC_120_10_8	40	40	51	52	51	51	52
classC_120_10_9	40	40	52	52	52	52	53
classC_249_10_0	83	83	106	106	106	107	107
classC_249_10_1	83	83	106	107	107	106	107
classC_249_10_2	83	83	106	106	106	106	108
classC_249_10_3	83	83	107	107	107	107	107
classC_249_10_4	83	83	106	106	106	106	107
classC_249_10_5	83	83	108	108	108	108	108
classC_249_10_6	83	83	107	107	107	107	107
classC_249_10_7	83	83	106	106	106	106	107
classC_249_10_8	83	83	108	108	108	108	108
